Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
50,?ÉÂ§ß?∞ÁÅ£50,"46,790,503","3,463,425,684",74.95,75.25,72.8,72.8,-2.05,"23,021",
51,?ÉÂ§ß‰∏≠Â?100,"43,172","1,177,199",27.3,27.57,26.75,26.75,-0.52,45,
52,ÂØåÈÇ¶ÁßëÊ?,"161,425","9,156,750",57.6,57.6,55.35,55.35,-2.35,67,
53,?ÉÂ§ß?ªÂ?,"35,076","1,163,448",33.36,33.61,32.56,32.69,-0.67,19,
54,?ÉÂ§ß?∞Â?50,"27,028","507,569",18.8,19,18.64,18.64,-0.36,13,
55,?ÉÂ§ßMSCI?ëË?,"62,050","940,984",15.35,15.35,15,15.1,-0.32,52,
56,"?ÉÂ§ßÈ´òËÇ°??,80",530,"934""","1,897,973,002",23.7,23.82,23.26,23.29,-0.38,"35,938"
57,ÂØåÈÇ¶?©Âè∞,"20,011","967,537",48.35,48.35,48.35,48.35,-0.9,3,
61,"?ÉÂ§ßÂØ∂Êª¨Ê∑?,5",889,"414""","103,296,868",17.3,18.5,16.9,17.93,1,"2,346"
6203,?ÉÂ§ßMSCI?∞ÁÅ£,"7,000","242,470",34.98,34.98,34.52,34.52,-0.2,5,
6204,Ê∞∏Ë??∫ÁÅ£?†Ê?,"7,000","327,600",47.17,47.17,46.63,46.63,-0.62,5,
6205,ÂØåÈÇ¶‰∏äË®º,"2,176,076","61,949,579",28.38,28.58,28.18,28.22,-0.13,301,
6206,?ÉÂ§ß‰∏äË?50,"602,582","17,703,772",29.15,29.6,29.15,29.24,0.09,359,
6207,FHÊª¨Ê∑±,"241,250","5,335,510",21.95,22.28,21.93,21.95,0.02,97,
6208,ÂØåÈÇ¶??0,"1,366,482","58,018,386",43.8,43.8,41.55,41.55,-1.48,867,
00625K,ÂØåÈÇ¶‰∏äË®º+R,"50,000","333,500",6.67,6.67,6.67,6.67,0.04,2,
00631L,?ÉÂ§ß?∞ÁÅ£50Ê≠?,"22,770,009","725,909,170",32.86,32.88,30.66,30.66,-2.22,"6,348",
00632R,?ÉÂ§ß?∞ÁÅ£50??,"307,003,192","3,890,066,718",12.54,12.9,12.49,12.9,0.41,"26,210",
00633L,ÂØåÈÇ¶‰∏äË®ºÊ≠?,"22,471,500","823,578,024",36.4,37.38,35.89,35.89,-0.29,"4,146",
00634R,ÂØåÈÇ¶‰∏äË®º??,"11,553,832","72,528,184",6.32,6.35,6.23,6.34,0.02,"1,106",
00635U,?ÉÂ§ßS&PÈªÉÈ?,"2,074,480","45,122,284",21.79,21.81,21.66,21.7,0.34,679,
636,?ãÊ≥∞‰∏≠Â?A50,"1,812,020","35,264,078",19.39,19.61,19.31,19.31,-0.08,522,
00636K,?ãÊ≥∞‰∏≠Â?A50+U,0,0,0,0,0,0,0,0,
00637L,?ÉÂ§ßÊª¨Ê∑±300Ê≠?,"117,360,971","1,650,312,234",14,14.32,13.72,13.72,-0.13,"12,552",
00638R,?ÉÂ§ßÊª¨Ê∑±300??,"6,524,000","83,028,110",12.7,12.85,12.6,12.85,0.06,881,
639,ÂØåÈÇ¶Ê∑?00,"2,842,731","30,718,102",10.65,10.88,10.65,10.71,0.07,290,
00640L,ÂØåÈÇ¶?•Êú¨Ê≠?,"3,151,000","39,372,470",12.34,12.93,12.24,12.28,0.14,723,
00641R,ÂØåÈÇ¶?•Êú¨??,"4,330,005","76,639,029",17.88,18.03,17.36,18.03,0.05,978,
00642U,?ÉÂ§ßS&P?≥Ê≤π,"77,488,385","800,805,843",10.22,10.45,10.22,10.25,-0.5,"13,667",
643,Áæ§Á?Ê∑±Ë®º‰∏≠Â?,"1,486,000","19,564,510",12.81,13.3,12.81,13.02,0.12,494,
00643K,Áæ§Á?Ê∑±Ë®º‰∏≠Â?+R,0,0,0,0,0,0,0,0,
645,ÂØåÈÇ¶?•Êú¨,"143,551","2,438,596",16.73,17.15,16.73,16.79,0.1,38,
